date,fish_id,sinhala_name,common_name,price
2024-01-01,8,සාලයා (මට්ට),Sardinella,460.71
2024-01-01,17,අලගොඩුවා,Frigate tuna(L),850.0
2024-01-01,15,ඉස්සා (M),"Prawns (M) 3""",1500.0
2024-01-01,14,හාල්මැස්සා,Anchovy,475.0
2024-01-01,13,කටුවල්ලා,Katuwalla,625.0
2024-01-01,12,කාරල්ලා,Pony fish,365.0
2024-01-01,11,කුම්බලා,Indian Mackerel,891.67
2024-01-01,18,ඇටවල්ලා,Kawakawa,1033.33
2024-01-01,10,හුරුල්ලා,Herrings,716.67
2024-01-01,7,කෙළවල්ලා,Yellowfin tuna,1405.0
2024-01-01,6,බලයා,Skipjack tuna,950.0
2024-01-01,5,තලපත්,Sail fish,1933.33
2024-01-01,4,ගල්මාළු (පොඩි),Rock fish (S),1091.67
2024-01-01,3,ගල්මාළු (ලොකු),Rock fish (L),1225.0
2024-01-01,2,පරව් (ලොකු),Trevally (L),1328.57
2024-01-01,9,මෝරා,Sharks,1000.0
2024-01-01,19,ඇටිස්සා,Red Bream(L),1400.0
2024-01-01,16,කොප්පරා,Marlins,2383.33
2024-01-01,21,ගින්නටි පරව්,Ginnati Paraw,1140.0
2024-01-01,32,තිලාපියා,Tilapia (M),400.0
2024-01-01,20,බෝල්ලා,Big eye scade,767.86
2024-01-01,30,දැල්ලා,Squids /Cuttle fish,1478.57
2024-01-01,29,සූඩයා,White Sardinella,312.5
2024-01-01,28,සුද්දා,Threadfin  Bream,1180.0
2024-01-01,27,ලේන පරව්,Rainbow Runner,808.33
2024-01-01,31,කකුළුවා(L),Sea Crabs(L),2166.67
2024-01-01,25,ලින්නා,Indian Scad(L),821.43
2024-01-01,24,ජීලාවා,Barracuda(L),1371.43
2024-01-01,23,හැඩැල්ලා,Indian Anchovies,1316.67
2024-01-01,22,හබරලි,Needle fish,1020.0
2024-01-01,26,ලින්නා,Indian Scad(S),712.5
2024-01-08,20,බෝල්ලා,Big eye scade,650.0
2024-01-08,21,ගින්නටි පරව්,Ginnati Paraw,957.14
2024-01-08,22,හබරලි,Needle fish,950.0
2024-01-08,23,හැඩැල්ලා,Indian Anchovies,1480.0
2024-01-08,24,ජීලාවා,Barracuda(L),1121.43
2024-01-08,29,සූඩයා,White Sardinella,242.5
2024-01-08,30,දැල්ලා,Squids /Cuttle fish,1500.0
2024-01-08,28,සුද්දා,Threadfin  Bream,1033.33
2024-01-08,27,ලේන පරව්,Rainbow Runner,621.43
2024-01-08,26,ලින්නා,Indian Scad(S),389.29
2024-01-08,19,ඇටිස්සා,Red Bream(L),1285.71
2024-01-08,25,ලින්නා,Indian Scad(L),521.43
2024-01-08,18,ඇටවල්ලා,Kawakawa,807.14
2024-01-08,13,කටුවල්ලා,Katuwalla,537.5
2024-01-08,16,කොප්පරා,Marlins,2128.57
2024-01-08,15,ඉස්සා (M),"Prawns (M) 3""",1364.29
2024-01-08,14,හාල්මැස්සා,Anchovy,450.0
2024-01-08,12,කාරල්ලා,Pony fish,292.86
2024-01-08,11,කුම්බලා,Indian Mackerel,753.57
2024-01-08,10,හුරුල්ලා,Herrings,641.67
2024-01-08,9,මෝරා,Sharks,914.29
2024-01-08,8,සාලයා (මට්ට),Sardinella,378.57
2024-01-08,31,කකුළුවා(L),Sea Crabs(L),2125.0
2024-01-08,2,පරව් (ලොකු),Trevally (L),1157.14
2024-01-08,3,ගල්මාළු (ලොකු),Rock fish (L),1214.29
2024-01-08,4,ගල්මාළු (පොඩි),Rock fish (S),916.67
2024-01-08,5,තලපත්,Sail fish,1842.86
2024-01-08,17,අලගොඩුවා,Frigate tuna(L),732.14
2024-01-08,6,බලයා,Skipjack tuna,600.0
2024-01-08,7,කෙළවල්ලා,Yellowfin tuna,1291.67
2024-01-15,18,ඇටවල්ලා,Kawakawa,791.67
2024-01-15,2,පරව් (ලොකු),Trevally (L),1035.71
2024-01-15,4,ගල්මාළු (පොඩි),Rock fish (S),750.0
2024-01-15,5,තලපත්,Sail fish,1585.71
2024-01-15,6,බලයා,Skipjack tuna,595.0
2024-01-15,7,කෙළවල්ලා,Yellowfin tuna,1064.29
2024-01-15,8,සාලයා (මට්ට),Sardinella,362.5
2024-01-15,9,මෝරා,Sharks,980.0
2024-01-15,10,හුරුල්ලා,Herrings,575.0
2024-01-15,11,කුම්බලා,Indian Mackerel,757.14
2024-01-15,12,කාරල්ලා,Pony fish,266.67
2024-01-15,13,කටුවල්ලා,Katuwalla,600.0
2024-01-15,14,හාල්මැස්සා,Anchovy,350.0
2024-01-15,15,ඉස්සා (M),"Prawns (M) 3""",1407.14
2024-01-15,16,කොප්පරා,Marlins,1892.86
2024-01-15,17,අලගොඩුවා,Frigate tuna(L),660.0
2024-01-15,3,ගල්මාළු (ලොකු),Rock fish (L),1107.14
2024-01-15,19,ඇටිස්සා,Red Bream(L),1107.14
2024-01-15,31,කකුළුවා(L),Sea Crabs(L),2200.0
2024-01-15,30,දැල්ලා,Squids /Cuttle fish,1542.86
2024-01-15,29,සූඩයා,White Sardinella,255.0
2024-01-15,27,ලේන පරව්,Rainbow Runner,689.29
2024-01-15,26,ලින්නා,Indian Scad(S),391.67
2024-01-15,28,සුද්දා,Threadfin  Bream,992.86
2024-01-15,24,ජීලාවා,Barracuda(L),975.0
2024-01-15,23,හැඩැල්ලා,Indian Anchovies,1266.67
2024-01-15,22,හබරලි,Needle fish,989.29
2024-01-15,21,ගින්නටි පරව්,Ginnati Paraw,935.71
2024-01-15,20,බෝල්ලා,Big eye scade,633.33
2024-01-15,25,ලින්නා,Indian Scad(L),579.17
2024-01-22,12,කාරල්ලා,Pony fish,225.0
2024-01-22,16,කොප්පරා,Marlins,2158.33
2024-01-22,15,ඉස්සා (M),"Prawns (M) 3""",1475.0
2024-01-22,14,හාල්මැස්සා,Anchovy,416.67
2024-01-22,13,කටුවල්ලා,Katuwalla,500.0
2024-01-22,11,කුම්බලා,Indian Mackerel,570.83
2024-01-22,5,තලපත්,Sail fish,1766.67
2024-01-22,9,මෝරා,Sharks,860.0
2024-01-22,8,සාලයා (මට්ට),Sardinella,271.67
2024-01-22,7,කෙළවල්ලා,Yellowfin tuna,1058.33
2024-01-22,6,බලයා,Skipjack tuna,590.0
2024-01-22,17,අලගොඩුවා,Frigate tuna(L),591.67
2024-01-22,10,හුරුල්ලා,Herrings,566.67
2024-01-22,18,ඇටවල්ලා,Kawakawa,725.0
2024-01-22,25,ලින්නා,Indian Scad(L),470.83
2024-01-22,20,බෝල්ලා,Big eye scade,608.33
2024-01-22,21,ගින්නටි පරව්,Ginnati Paraw,840.0
2024-01-22,22,හබරලි,Needle fish,708.33
2024-01-22,23,හැඩැල්ලා,Indian Anchovies,1233.33
2024-01-22,24,ජීලාවා,Barracuda(L),1066.67
2024-01-22,32,තිලාපියා,Tilapia (M),450.0
2024-01-22,26,ලින්නා,Indian Scad(S),333.33
2024-01-22,27,ලේන පරව්,Rainbow Runner,541.67
2024-01-22,28,සුද්දා,Threadfin  Bream,808.33
2024-01-22,29,සූඩයා,White Sardinella,215.0
2024-01-22,30,දැල්ලා,Squids /Cuttle fish,1350.0
2024-01-22,31,කකුළුවා(L),Sea Crabs(L),2091.67
2024-01-22,2,පරව් (ලොකු),Trevally (L),1060.0
2024-01-22,3,ගල්මාළු (ලොකු),Rock fish (L),975.0
2024-01-22,19,ඇටිස්සා,Red Bream(L),1100.0
2024-01-22,4,ගල්මාළු (පොඩි),Rock fish (S),716.67
2024-02-01,2,පරව් (ලොකු),Trevally (L),1135.71
2024-02-01,30,දැල්ලා,Squids /Cuttle fish,1500.0
2024-02-01,4,ගල්මාළු (පොඩි),Rock fish (S),1050.0
2024-02-01,5,තලපත්,Sail fish,1753.57
2024-02-01,6,බලයා,Skipjack tuna,632.14
2024-02-01,7,කෙළවල්ලා,Yellowfin tuna,1245.83
2024-02-01,8,සාලයා (මට්ට),Sardinella,309.29
2024-02-01,9,මෝරා,Sharks,933.33
2024-02-01,10,හුරුල්ලා,Herrings,739.29
2024-02-01,11,කුම්බලා,Indian Mackerel,711.43
2024-02-01,12,කාරල්ලා,Pony fish,218.75
2024-02-01,13,කටුවල්ලා,Katuwalla,433.33
2024-02-01,14,හාල්මැස්සා,Anchovy,466.67
2024-02-01,15,ඉස්සා (M),"Prawns (M) 3""",1357.14
2024-02-01,31,කකුළුවා(L),Sea Crabs(L),2208.33
2024-02-01,16,කොප්පරා,Marlins,2085.71
2024-02-01,3,ගල්මාළු (ලොකු),Rock fish (L),1325.0
2024-02-01,19,ඇටිස්සා,Red Bream(L),1160.0
2024-02-01,20,බෝල්ලා,Big eye scade,585.71
2024-02-01,21,ගින්නටි පරව්,Ginnati Paraw,1100.0
2024-02-01,22,හබරලි,Needle fish,920.0
2024-02-01,23,හැඩැල්ලා,Indian Anchovies,1242.84
2024-02-01,24,ජීලාවා,Barracuda(L),875.0
2024-02-01,25,ලින්නා,Indian Scad(L),525.0
2024-02-01,26,ලින්නා,Indian Scad(S),418.57
2024-02-01,27,ලේන පරව්,Rainbow Runner,640.0
2024-02-01,28,සුද්දා,Threadfin  Bream,971.43
2024-02-01,29,සූඩයා,White Sardinella,228.0
2024-02-01,17,අලගොඩුවා,Frigate tuna(L),775.0
2024-02-01,18,ඇටවල්ලා,Kawakawa,841.67
2024-02-08,2,පරව් (ලොකු),Trevally (L),1057.14
2024-02-08,3,ගල්මාළු (ලොකු),Rock fish (L),1041.67
2024-02-08,7,කෙළවල්ලා,Yellowfin tuna,1166.67
2024-02-08,31,කකුළුවා(L),Sea Crabs(L),1914.29
2024-02-08,30,දැල්ලා,Squids /Cuttle fish,1542.86
2024-02-08,28,සුද්දා,Threadfin  Bream,928.57
2024-02-08,27,ලේන පරව්,Rainbow Runner,628.57
2024-02-08,26,ලින්නා,Indian Scad(S),417.86
2024-02-08,25,ලින්නා,Indian Scad(L),534.29
2024-02-08,24,ජීලාවා,Barracuda(L),1242.86
2024-02-08,23,හැඩැල්ලා,Indian Anchovies,1200.0
2024-02-08,22,හබරලි,Needle fish,835.71
2024-02-08,21,ගින්නටි පරව්,Ginnati Paraw,920.0
2024-02-08,20,බෝල්ලා,Big eye scade,614.29
2024-02-08,19,ඇටිස්සා,Red Bream(L),1150.0
2024-02-08,18,ඇටවල්ලා,Kawakawa,758.33
2024-02-08,29,සූඩයා,White Sardinella,282.86
2024-02-08,16,කොප්පරා,Marlins,1921.43
2024-02-08,5,තලපත්,Sail fish,1671.43
2024-02-08,17,අලගොඩුවා,Frigate tuna(L),514.29
2024-02-08,6,බලයා,Skipjack tuna,585.71
2024-02-08,4,ගල්මාළු (පොඩි),Rock fish (S),850.0
2024-02-08,9,මෝරා,Sharks,941.67
2024-02-08,8,සාලයා (මට්ට),Sardinella,372.5
2024-02-08,11,කුම්බලා,Indian Mackerel,720.83
2024-02-08,12,කාරල්ලා,Pony fish,310.0
2024-02-08,13,කටුවල්ලා,Katuwalla,500.0
2024-02-08,14,හාල්මැස්සා,Anchovy,420.0
2024-02-08,15,ඉස්සා (M),"Prawns (M) 3""",1485.71
2024-02-08,10,හුරුල්ලා,Herrings,692.86
2024-02-15,10,හුරුල්ලා,Herrings,728.57
2024-02-15,13,කටුවල්ලා,Katuwalla,590.0
2024-02-15,12,කාරල්ලා,Pony fish,339.29
2024-02-15,11,කුම්බලා,Indian Mackerel,839.29
2024-02-15,9,මෝරා,Sharks,900.0
2024-02-15,4,ගල්මාළු (පොඩි),Rock fish (S),920.0
2024-02-15,7,කෙළවල්ලා,Yellowfin tuna,1321.43
2024-02-15,6,බලයා,Skipjack tuna,639.29
2024-02-15,5,තලපත්,Sail fish,1778.57
2024-02-15,14,හාල්මැස්සා,Anchovy,450.0
2024-02-15,3,ගල්මාළු (ලොකු),Rock fish (L),1166.67
2024-02-15,2,පරව් (ලොකු),Trevally (L),1214.29
2024-02-15,8,සාලයා (මට්ට),Sardinella,367.86
2024-02-15,15,ඉස්සා (M),"Prawns (M) 3""",1485.71
2024-02-15,21,ගින්නටි පරව්,Ginnati Paraw,1120.0
2024-02-15,17,අලගොඩුවා,Frigate tuna(L),712.5
2024-02-15,32,තිලාපියා,Tilapia (M),350.0
2024-02-15,31,කකුළුවා(L),Sea Crabs(L),2085.71
2024-02-15,30,දැල්ලා,Squids /Cuttle fish,1628.57
2024-02-15,28,සුද්දා,Threadfin  Bream,1000.0
2024-02-15,27,ලේන පරව්,Rainbow Runner,733.33
2024-02-15,16,කොප්පරා,Marlins,1964.29
2024-02-15,26,ලින්නා,Indian Scad(S),585.0
2024-02-15,24,ජීලාවා,Barracuda(L),1187.5
2024-02-15,23,හැඩැල්ලා,Indian Anchovies,1428.57
2024-02-15,22,හබරලි,Needle fish,1025.0
2024-02-15,20,බෝල්ලා,Big eye scade,765.0
2024-02-15,19,ඇටිස්සා,Red Bream(L),1271.43
2024-02-15,18,ඇටවල්ලා,Kawakawa,825.0
2024-02-15,25,ලින්නා,Indian Scad(L),689.29
2024-02-15,29,සූඩයා,White Sardinella,260.0
2024-02-22,29,කකුළුවා,Sea Crabs(L),2447.5
2024-02-22,28,දැල්ලා,Cuttle fish,1727.0
2024-02-22,3,ගල්මාළු (ලොකු),Rock Fish (L),2093.33
2024-02-22,2,පරව් (ලොකු),Trevally (L),2220.0
2024-02-22,26,සුද්දා,Threadfin bream,1220.0
2024-02-22,25,ලේන පරව්,Rainbow runner,960.0
2024-02-22,27,සූඩයා,White Sardinella,370.0
2024-02-22,24,ලින්නා,Indian Scade,768.0
2024-02-22,22,හැඩැල්ලා,Indian Anchovy,1763.0
2024-02-22,21,හබරලි,Needle fish,1120.0
2024-02-22,20,ගින්නටි පරව්,Ginnati paraw,1040.0
2024-02-22,19,බෝල්ලා,Big eye scade,990.0
2024-02-22,18,ඇටිස්සා,Red Bream(L),1710.0
2024-02-22,17,ඇටවල්ලා,Kawakawa,910.0
2024-02-22,23,ජීලාවා,Barracuda,2083.0
2024-02-22,15,කොප්පරා,Marlins,3183.33
2024-02-22,16,අලගොඩුවා,Frigate tuna,880.0
2024-02-22,5,බලයා,Skipjack tuna,1206.67
2024-02-22,6,කෙළවල්ලා,Yellowfin tuna,2196.67
2024-02-22,7,සාලයා (මට්ට),Sardinella,580.0
2024-02-22,8,මෝරා,Shark,1790.0
2024-02-22,4,තලපත්,Sail fish,2583.0
