festival_name,festival_date
NewYear_Jan1,2020-01-01
Duruthu Full Moon Poya,2020-01-10
Independence_Day,2020-02-04
Navam Full Moon Poya,2020-02-08
Madin Full Moon Poya,2020-03-09
Bak Full Moon Poya,2020-04-07
SinhalaNewYear,2020-04-13
TamilNewYear,2020-04-14
SinhalaNewYear,2020-04-14
Vesak Full Moon Poya,2020-05-07
Day after Vesak Full Moon Poya,2020-05-08
Eid_al_Fitr,2020-05-24
Poson Full Moon Poya,2020-06-05
Esala Full Moon Poya,2020-07-04
Eid_al_Adha,2020-07-31
Nikini Full Moon Poya,2020-08-03
Binara Full Moon Poya,2020-09-01
Adhi Vap Full Moon Poya,2020-10-01
Vap Full Moon Poya,2020-10-30
Il Full Moon Poya,2020-11-29
Christmas,2020-12-25
Unduvap Full Moon Poya,2020-12-29
NewYear_Jan1,2021-01-01
Duruthu Full Moon Poya,2021-01-28
Independence_Day,2021-02-04
Navam Full Moon Poya,2021-02-26
Madin Full Moon Poya,2021-03-28
SinhalaNewYear,2021-04-13
SinhalaNewYear,2021-04-14
TamilNewYear,2021-04-14
Bak Full Moon Poya,2021-04-26
Eid_al_Fitr,2021-05-13
Vesak Holiday - Public Sector,2021-05-24
Vesak Holiday - Public Sector,2021-05-25
Vesak Full Moon Poya,2021-05-26
Day after Vesak Full Moon Poya,2021-05-27
Poson Full Moon Poya,2021-06-24
Eid_al_Adha,2021-07-20
Esala Full Moon Poya,2021-07-23
Nikini Full Moon Poya,2021-08-22
Binara Full Moon Poya,2021-09-20
Vap Full Moon Poya,2021-10-20
Il Full Moon Poya,2021-11-18
Unduvap Full Moon Poya,2021-12-18
Christmas,2021-12-25
NewYear_Jan1,2022-01-01
Duruthu Full Moon Poya,2022-01-17
Independence_Day,2022-02-04
Navam Full Moon Poya,2022-02-16
Madin Full Moon Poya,2022-03-17
SinhalaNewYear,2022-04-13
TamilNewYear,2022-04-14
SinhalaNewYear,2022-04-14
Bak Full Moon Poya,2022-04-16
Eid_al_Fitr,2022-05-02
Vesak Full Moon Poya,2022-05-15
Day after Vesak Full Moon Poya,2022-05-16
Poson Full Moon Poya,2022-06-14
Eid_al_Adha,2022-07-09
Esala Full Moon Poya,2022-07-13
Nikini Full Moon Poya,2022-08-11
Binara Full Moon Poya,2022-09-10
Vap Full Moon Poya,2022-10-09
Special Bank Holiday for Vap Poya,2022-10-10
Il Full Moon Poya,2022-11-07
Unduvap Full Moon Poya,2022-12-07
Christmas,2022-12-25
NewYear_Jan1,2023-01-01
Duruthu Full Moon Poya,2023-01-06
Independence_Day,2023-02-04
Navam Full Moon Poya,2023-02-05
Madin Full Moon Poya,2023-03-06
Bak Full Moon Poya,2023-04-05
SinhalaNewYear,2023-04-13
TamilNewYear,2023-04-14
SinhalaNewYear,2023-04-14
Eid_al_Fitr,2023-04-21
Vesak Full Moon Poya,2023-05-05
Day after Vesak Full Moon Poya,2023-05-06
Poson Full Moon Poya,2023-06-03
Eid_al_Adha,2023-06-28
Adhi Esala Full Moon Poya,2023-07-03
Esala Full Moon Poya,2023-08-01
Nikini Full Moon Poya,2023-08-30
Binara Full Moon Poya,2023-09-29
Vap Full Moon Poya,2023-10-28
Il Full Moon Poya,2023-11-26
Christmas,2023-12-25
Unduvap Full Moon Poya,2023-12-26
NewYear_Jan1,2024-01-01
Duruthu Full Moon Poya,2024-01-25
Independence_Day,2024-02-04
Navam Full Moon Poya,2024-02-23
Madin Full Moon Poya,2024-03-24
Eid_al_Fitr,2024-04-10
SinhalaNewYear,2024-04-13
SinhalaNewYear,2024-04-14
TamilNewYear,2024-04-14
Bak Full Moon Poya,2024-04-23
Vesak Full Moon Poya,2024-05-23
Day after Vesak Full Moon Poya,2024-05-24
Eid_al_Adha,2024-06-16
Poson Full Moon Poya,2024-06-21
Esala Full Moon Poya,2024-07-20
Nikini Full Moon Poya,2024-08-19
Binara Full Moon Poya,2024-09-17
Vap Full Moon Poya,2024-10-17
Il Full Moon Poya,2024-11-15
Unduvap Full Moon Poya,2024-12-14
Christmas,2024-12-25
NewYear_Jan1,2025-01-01
Duruthu Full Moon Poya,2025-01-13
Independence_Day,2025-02-04
Navam Full Moon Poya,2025-02-12
Madin Full Moon Poya,2025-03-13
Eid_al_Fitr,2025-03-30
Bak Full Moon Poya,2025-04-12
SinhalaNewYear,2025-04-13
TamilNewYear,2025-04-14
SinhalaNewYear,2025-04-14
Vesak Full Moon Poya,2025-05-12
Day after Vesak Full Moon Poya,2025-05-13
Eid_al_Adha,2025-06-06
Poson Full Moon Poya,2025-06-10
Esala Full Moon Poya,2025-07-10
Nikini Full Moon Poya,2025-08-08
Binara Full Moon Poya,2025-09-07
Vap Full Moon Poya,2025-10-06
Il Full Moon Poya,2025-11-05
Unduvap Full Moon Poya,2025-12-04
Christmas,2025-12-25
NewYear_Jan1,2026-01-01
Duruthu Full Moon Poya,2026-01-03
Independence_Day,2026-02-04
Eid_al_Fitr,2026-03-20
Bak Full Moon Poya,2026-04-01
SinhalaNewYear,2026-04-13
TamilNewYear,2026-04-14
SinhalaNewYear,2026-04-14
Vesak Full Moon Poya,2026-05-01
Day after Vesak Full Moon Poya,2026-05-02
Eid_al_Adha,2026-05-27
Poson Full Moon Poya,2026-06-29
Esala Full Moon Poya,2026-07-29
Nikini Full Moon Poya,2026-08-27
Binara Full Moon Poya,2026-09-26
Vap Full Moon Poya,2026-10-25
Il Full Moon Poya,2026-11-24
Unduvap Full Moon Poya,2026-12-23
Christmas,2026-12-25
