boat_type_MDBT,boat_type_NMTR,boat_type_OBFR,boat_type_TKBO,engine_hp,fuel_type_kerosene,fuel_type_none,fuel_type_petrol,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_kmh,trip_days,trip_month,distance_km,wind_kph,wave_height_m,total_hours,region_North Western,region_Northern,region_Southern,region_Western,is_multi_day,has_engine
True,False,False,False,74,False,False,False,8,2000,1000,24.076,5,7,101.54,6.5,2.21,52.6,True,False,False,False,1,1
True,False,False,False,135,False,False,False,7,2000,1000,24.076,5,11,77.63,15.0,0.4,41.1,False,False,False,True,1,1
False,False,False,False,334,False,False,False,16,10000,30000,18.52,18,12,108.14,19.1,1.15,136.3,False,False,False,True,1,1
False,False,False,True,13,True,False,False,3,300,100,14.816,1,6,32.81,10.2,1.55,13.8,False,False,True,False,0,1
True,False,False,False,137,False,False,False,9,2000,1000,24.076,1,2,154.37,18.5,1.59,21.3,False,False,True,False,0,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,11,5.1,10.0,1.86,10.3,False,False,False,True,0,0
False,False,False,True,17,True,False,False,3,300,100,14.816,1,8,7.29,21.6,1.6,9.2,True,False,False,False,0,1
False,False,True,False,38,False,False,True,5,500,200,37.04,1,10,53.05,16.0,0.74,10.8,True,False,False,False,0,1
False,False,True,False,67,False,False,True,3,500,200,37.04,2,3,90.86,9.0,2.35,22.0,False,False,False,False,1,1
True,False,False,False,148,False,False,False,6,2000,1000,24.076,1,4,48.05,13.8,0.97,12.1,False,False,False,True,0,1
False,False,False,True,18,True,False,False,2,300,100,14.816,1,12,5.92,11.3,1.39,7.9,False,False,False,True,0,1
False,False,False,False,423,False,False,False,12,10000,30000,18.52,10,12,237.28,16.2,1.52,88.9,True,False,False,False,1,1
False,False,True,False,35,False,False,True,5,500,200,37.04,2,11,77.85,9.7,0.39,21.6,False,False,True,False,1,1
True,False,False,False,92,False,False,False,7,2000,1000,24.076,1,2,112.98,28.1,2.23,18.0,False,False,True,False,0,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,11,10.83,9.7,0.91,13.3,False,False,False,True,0,0
False,False,True,False,60,False,False,True,4,500,200,37.04,2,9,60.58,21.6,0.31,19.7,False,False,True,False,1,1
False,False,False,False,476,False,False,False,15,10000,30000,18.52,17,1,688.43,18.6,1.42,193.4,False,False,False,False,1,1
False,False,True,False,54,False,False,True,3,500,200,37.04,2,12,66.2,23.1,0.92,20.7,False,False,True,False,1,1
False,False,False,True,18,True,False,False,2,300,100,14.816,1,5,44.77,19.3,2.46,13.3,False,True,False,False,0,1
False,False,True,False,78,False,False,True,4,500,200,37.04,1,6,57.31,14.0,0.86,10.4,False,False,False,True,0,1
True,False,False,False,85,False,False,False,8,2000,1000,24.076,2,10,140.73,5.1,1.68,24.3,False,False,False,True,1,1
False,False,False,False,414,False,False,False,17,10000,30000,18.52,34,6,174.73,19.8,0.37,334.7,False,False,False,True,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,4,1.57,15.3,1.84,7.1,False,False,False,False,0,0
False,False,True,False,87,False,False,True,5,500,200,37.04,2,10,72.96,29.1,2.14,19.2,False,False,True,False,1,1
False,False,True,False,25,False,False,True,6,500,200,37.04,1,6,72.41,23.3,0.4,10.5,False,False,False,True,0,1
False,False,False,False,437,False,False,False,15,10000,30000,18.52,14,5,410.89,16.8,0.68,150.7,False,False,False,True,1,1
False,False,False,True,10,True,False,False,2,300,100,14.816,1,7,33.78,28.6,2.21,13.8,False,False,True,False,0,1
False,False,False,True,21,True,False,False,4,300,100,14.816,1,11,39.92,9.9,0.45,11.5,False,False,True,False,0,1
True,False,False,False,133,False,False,False,7,2000,1000,24.076,2,10,52.8,22.4,1.68,22.3,True,False,False,False,1,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,8,2.06,26.7,1.54,9.5,True,False,False,False,0,0
False,False,True,False,37,False,False,True,5,500,200,37.04,1,9,41.03,26.2,1.08,10.9,False,False,False,False,0,1
True,False,False,False,84,False,False,False,9,2000,1000,24.076,3,9,45.85,7.8,2.35,33.8,True,False,False,False,1,1
False,False,False,False,273,False,False,False,12,10000,30000,18.52,16,9,375.31,25.5,1.85,142.0,False,False,True,False,1,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,3,4.59,24.4,1.53,11.3,False,False,True,False,0,0
False,False,True,False,82,False,False,True,6,500,200,37.04,2,7,75.05,23.7,1.58,19.1,False,False,False,True,1,1
False,False,False,True,22,True,False,False,2,300,100,14.816,1,6,4.94,28.1,2.32,9.4,False,False,False,True,0,1
False,False,True,False,78,False,False,True,4,500,200,37.04,1,12,87.1,29.0,0.43,11.1,False,True,False,False,0,1
True,False,False,False,109,False,False,False,9,2000,1000,24.076,4,11,67.25,22.5,1.48,42.6,True,False,False,False,1,1
False,False,True,False,71,False,False,True,3,500,200,37.04,2,11,13.45,6.1,0.36,19.2,False,False,False,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,9,7.09,15.4,0.9,12.0,True,False,False,False,0,0
