fuel_liters,ice_kg,water_liters,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr
380.43,316.81,548.22,167389.2,3801.72,0.0
617.65,250.38,601.11,265589.5,3004.56,0.0
3632.61,3134.33,4751.82,1562022.3,37611.96,0.0
39.33,19.58,11.28,3421.71,234.96,56.4
289.22,66.03,121.44,34995.62,792.36,607.2
0.0,21.71,10.45,0.0,260.52,52.25
40.35,21.89,11.05,3510.45,262.68,55.25
70.31,26.8,13.38,28827.1,321.6,66.9
229.47,33.56,16.31,58285.38,402.72,81.55
165.13,44.87,83.77,47722.57,538.44,418.85
30.42,20.44,10.01,11103.3,245.28,50.05
3070.98,1453.95,1783.96,1320521.4,17447.4,0.0
100.46,52.46,27.54,37170.2,629.52,137.7
186.41,52.9,105.93,22555.61,634.8,529.65
0.0,21.43,9.71,0.0,257.16,48.55
214.14,42.71,22.01,96363.0,512.52,110.05
8668.09,3593.74,4291.0,1048838.89,43124.88,0.0
183.78,33.94,20.45,67998.6,407.28,102.25
50.5,19.07,9.96,4393.5,228.84,49.8
133.96,19.18,12.75,56263.2,230.16,63.75
172.56,130.85,205.99,74200.8,1570.2,0.0
10246.8,6414.38,9372.25,4098720.0,76972.56,0.0
0.0,21.88,10.64,0.0,262.56,53.2
298.05,48.6,27.75,110278.5,583.2,138.75
45.86,30.31,15.8,19261.2,363.72,79.0
5734.64,2379.67,3031.51,2293856.0,28556.04,0.0
38.78,20.29,8.89,3373.86,243.48,44.45
45.06,20.73,10.46,15320.4,248.76,52.3
372.65,94.58,225.79,160239.5,1134.96,0.0
0.0,20.96,9.21,0.0,251.52,46.05
78.19,25.58,13.12,35185.5,306.96,65.6
278.91,195.98,430.01,119931.3,2351.76,0.0
3650.14,2291.5,3150.26,1569560.2,27498.0,0.0
0.0,18.44,9.98,0.0,221.28,49.9
292.9,67.32,33.01,137663.0,807.84,165.05
50.64,18.66,9.15,4405.68,223.92,45.75
153.32,19.65,12.53,56728.4,235.8,62.65
529.13,283.71,592.25,227525.9,3404.52,0.0
206.79,28.13,18.51,76512.3,337.56,92.55
0.0,21.25,11.5,0.0,255.0,57.5
40.34,21.51,10.77,3509.58,258.12,53.85
312.72,102.91,204.99,129778.8,1234.92,0.0
189.67,25.51,15.06,33571.59,306.12,75.3
66.77,19.97,11.38,22701.8,239.64,56.9
133.41,55.38,30.92,60034.5,664.56,154.6
4755.66,5198.01,7863.07,1902264.0,62376.12,0.0
220.6,22.85,11.05,81622.0,274.2,55.25
727.87,250.16,484.44,128105.12,3001.92,0.0
78.39,21.03,11.93,32139.9,252.36,59.65
184.04,56.8,30.95,82818.0,681.6,154.75
5037.44,3035.31,4395.6,2090537.6,36423.72,0.0
231.76,72.46,143.54,99656.8,869.52,717.7
64.65,25.68,15.22,21851.7,308.16,76.1
0.0,21.18,8.82,0.0,254.16,44.1
49.04,21.13,10.98,16673.6,253.56,54.9
529.7,310.01,622.34,227771.0,3720.12,0.0
58.33,20.51,9.5,10324.41,246.12,47.5
163.81,32.65,17.97,68800.2,391.8,89.85
412.12,296.16,555.32,177211.6,3553.92,0.0
51.67,18.07,11.12,17567.8,216.84,55.6
5079.44,4054.33,4358.83,2184159.2,48651.96,0.0
3506.53,5368.39,6057.03,1507807.9,64420.68,0.0
57.46,30.65,18.71,27006.2,367.8,93.55
409.06,166.0,402.99,163624.0,1992.0,0.0
9075.22,6076.76,9048.0,1098101.62,72921.12,0.0
84.1,63.78,138.85,10176.1,765.36,694.25
245.29,28.69,16.88,110380.5,344.28,84.4
14583.06,5293.75,5916.03,2566618.56,63525.0,0.0
42.41,19.95,11.18,3689.67,239.4,55.9
107.44,29.82,15.4,48348.0,357.84,77.0
79.51,29.13,19.25,35779.5,349.56,96.25
322.41,48.34,32.44,119291.7,580.08,162.2
65.7,18.12,9.29,5715.9,217.44,46.45
100.36,20.75,9.8,34122.4,249.0,49.0
11388.83,5716.81,9106.33,3291371.87,68601.72,0.0
115.33,21.05,13.5,51898.5,252.6,67.5
4569.82,4853.32,5192.84,552948.22,58239.84,0.0
15583.5,8547.11,8551.77,6700905.0,102565.32,0.0
0.0,18.15,9.94,0.0,217.8,49.7
66.14,21.41,10.65,5754.18,256.92,53.25
