trip_id,trip_year,trip_month,trip_date,season,boat_type,boat_name,engine_hp,fuel_type,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_knots,avg_speed_kmh,trip_days,trip_duration_category,port_name,region,departure_lat,departure_lon,fishing_lat,fishing_lon,distance_km,wind_kph,wave_height_m,weather_factor,total_hours,fuel_per_hour,fuel_per_km,fuel_liters,ice_kg,water_liters,fuel_price_per_liter,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr,total_base_cost_lkr,fuel_cost_share,ice_cost_share,water_cost_share,ice_per_crew_day,water_per_crew_day,is_multi_day,has_engine,is_deep_sea
10650,2024,3,2024-03-15,Northeast_Monsoon,OBFR,Outboard Fiberglass,64,petrol,6,500,200,20.0,37.04,2,Multi_Day,Colombo,Western,6.9271,79.8612,7.176,79.8072,28.31,7.6,1.07,0.99,19.2,8.96,6.08,172.03,55.07,37.14,371.0,63823.13,660.84,185.7,64669.67,0.987,0.01,0.003,4.59,3.1,1,1,0
2041,2022,12,2022-12-06,Northeast_Monsoon,OBFR,Outboard Fiberglass,25,petrol,5,500,200,20.0,37.04,2,Multi_Day,Hambantota,Southern,5.9549,80.5549,6.5847,80.5919,70.15,18.0,0.5,1.09,23.1,3.85,1.27,88.97,50.24,29.45,370.0,32918.9,602.88,147.25,33669.03,0.978,0.018,0.004,5.02,2.94,1,1,0
8668,2023,1,2023-01-03,Northeast_Monsoon,MDBT,Motorized Day Boat,67,diesel,9,2000,1000,13.0,24.076,4,Multi_Day,Negombo,Western,7.209,79.835,7.4715,79.5,62.47,12.5,0.93,1.05,42.4,6.47,4.39,274.33,252.68,564.29,405.0,111103.65,3032.16,0.0,114135.81,0.973,0.027,0.0,7.02,15.67,1,1,0
1114,2022,5,2022-05-03,Southwest_Monsoon,MDBT,Motorized Day Boat,69,diesel,9,2000,1000,13.0,24.076,2,Multi_Day,Beruwala,Western,6.0535,80.2209,6.5685,80.4927,64.66,27.1,1.56,1.28,21.2,8.65,2.84,183.39,132.32,239.69,289.0,52999.71,1587.84,0.0,54587.55,0.971,0.029,0.0,7.35,13.32,1,1,0
13902,2024,4,2024-04-11,Northeast_Monsoon,OBFR,Outboard Fiberglass,44,petrol,5,500,200,20.0,37.04,2,Multi_Day,Galle,Southern,6.1241,81.1185,5.9,80.9638,75.05,22.5,0.7,1.22,22.0,8.15,2.39,179.27,51.26,30.16,371.0,66509.17,615.12,150.8,67275.09,0.989,0.009,0.002,5.13,3.02,1,1,0
11963,2024,1,2024-01-03,Northeast_Monsoon,IMUL,Industrial Multi-day,451,diesel,18,10000,30000,10.0,18.52,27,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,5.9,79.5,710.43,21.1,1.44,1.21,271.8,43.56,16.66,11838.98,6899.29,6576.27,358.0,4238354.84,82791.48,0.0,4321146.32,0.981,0.019,0.0,14.2,13.53,1,1,1
11072,2024,1,2024-01-14,Northeast_Monsoon,OBFR,Outboard Fiberglass,49,petrol,4,500,200,20.0,37.04,1,Single_Day,Kalpitiya,North Western,8.556,79.8,8.3737,79.596,30.24,18.3,2.05,1.05,7.7,7.27,1.85,56.01,19.86,13.64,366.0,20499.66,238.32,68.2,20806.18,0.985,0.011,0.003,4.96,3.41,0,1,0
3002,2022,3,2022-03-02,Northeast_Monsoon,IMUL,Industrial Multi-day,491,diesel,19,10000,30000,10.0,18.52,33,Multi_Day,Kalpitiya,North Western,8.556,79.8,6.2969,79.5,327.1,14.2,1.45,1.02,330.5,39.66,40.07,13108.35,8171.37,10507.22,121.0,1586110.35,98056.44,0.0,1684166.79,0.942,0.058,0.0,13.03,16.76,1,1,1
19771,2025,7,2025-07-26,Southwest_Monsoon,OBFR,Outboard Fiberglass,51,petrol,3,500,200,20.0,37.04,1,Single_Day,Beruwala,Western,6.0535,80.2209,5.9,79.7834,89.11,28.1,1.88,1.29,12.4,10.18,1.42,126.27,18.5,9.19,305.0,38512.35,222.0,45.95,38780.3,0.993,0.006,0.001,6.17,3.06,0,1,0
8115,2023,5,2023-05-03,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,29,kerosene,2,300,100,8.0,14.816,1,Single_Day,Galle,Southern,6.1241,81.1185,6.054,80.7238,44.34,7.2,0.79,0.95,12.3,5.9,1.64,72.52,20.46,10.82,295.0,21393.4,245.52,54.1,21693.02,0.986,0.011,0.002,10.23,5.41,0,1,0
