year,trip_id,boat_type,engine_hp,trip_days,month,port_name,departure_lat,departure_lon,fishing_lat,fishing_lon,distance_km,wind_kph,wave_m,safety,diesel_liters,petrol_liters,kerosene_liters,fuel_cost_LKR,crew_cost_LKR,ice_cost_LKR,gear_loss_cost_LKR,total_cost_LKR,gross_revenue_LKR,tax_amount_LKR,net_revenue_LKR,gross_profit_LKR,net_profit_margin,trip_date,fuel_date_used,diesel_price_LKR,petrol_price_LKR,kerosene_price_LKR,catch_Yellowfin_Tuna_kg,revenue_Yellowfin_Tuna_LKR,catch_Skipjack_kg,revenue_Skipjack_LKR,catch_Marlin_kg,revenue_Marlin_LKR,catch_Seer_kg,revenue_Seer_LKR,catch_Other_kg,revenue_Other_LKR,fuel_cost_share,crew_cost_share,profitability
2022,0,NTRB,0,1,11,Trincomalee,8.55,81.233,8.5277,81.1981,6.0,9.8,1.17,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,16232.0,1623.0,14609.0,9549.0,0.654,2022-11-24,2022-11,430.0,370.0,365.0,1.72,2924.0,2.87,3444.0,0.57,798.0,2.87,6314.0,3.44,2752.0,0.0,0.7905138339920948,high_profit
2022,1,NTRB,0,1,2,Trincomalee,8.55,81.233,8.6167,81.2466,7.9,5.7,0.51,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,28684.0,2868.0,25816.0,20756.0,0.804,2022-02-07,2022-02,121.0,177.0,87.0,3.04,5168.0,5.07,6084.0,1.01,1414.0,5.07,11154.0,6.08,4864.0,0.0,0.7905138339920948,high_profit
2022,2,OFRP,37,2,4,Kalpitiya,8.556,79.8,8.4128,80.0004,38.3,21.2,0.84,safe,0.0,0.0,49.9,4339.0,16000,3000.0,0.0,28545.0,225167.0,22517.0,202650.0,174105.0,0.859,2022-04-13,2022-04,176.0,254.0,87.0,23.87,40579.0,39.78,47736.0,7.96,11144.0,39.78,87516.0,47.74,38192.0,0.15200560518479594,0.5605184795936241,high_profit
2022,3,OFRP,17,1,9,Kankesanthurai,9.6615,80.0104,9.7976,80.2346,40.0,14.1,1.93,safe,0.0,0.0,29.4,9979.0,8000,3000.0,0.0,23582.0,219950.0,21995.0,197955.0,174373.0,0.881,2022-09-16,2022-09,430.0,450.0,340.0,23.32,39644.0,38.86,46632.0,7.77,10878.0,38.86,85492.0,46.63,37304.0,0.42316173352557035,0.33924179458909337,high_profit
2022,4,NTRB,0,1,8,Kalpitiya,8.556,79.8,8.5668,79.7788,6.3,16.4,1.81,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,22315.0,2232.0,20084.0,15024.0,0.748,2022-08-16,2022-08,430.0,450.0,87.0,2.37,4029.0,3.94,4728.0,0.79,1106.0,3.94,8668.0,4.73,3784.0,0.0,0.7905138339920948,high_profit
2022,5,NTRB,0,1,12,Galle,6.1241,81.1185,6.1436,81.1106,2.5,14.4,0.85,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,17022.0,1702.0,15320.0,10260.0,0.67,2022-12-28,2022-12,420.0,370.0,365.0,1.8,3060.0,3.01,3612.0,0.6,840.0,3.01,6622.0,3.61,2888.0,0.0,0.7905138339920948,high_profit
2022,6,OFRP,27,1,2,Kalpitiya,8.556,79.8,8.8772,80.0081,44.2,14.2,1.29,safe,0.0,0.0,24.1,2094.0,12000,3000.0,0.0,19697.0,305256.0,30526.0,274730.0,255033.0,0.928,2022-02-25,2022-02,121.0,177.0,87.0,32.36,55012.0,53.93,64716.0,10.79,15106.0,53.93,118646.0,64.72,51776.0,0.10631060567599127,0.6092298319541047,high_profit
2022,7,NTRB,0,1,3,Negombo,7.209,79.835,7.2287,79.8469,6.8,11.1,1.13,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,29331.0,2933.0,26398.0,21338.0,0.808,2022-03-19,2022-03,176.0,254.0,87.0,3.11,5287.0,5.18,6216.0,1.04,1456.0,5.18,11396.0,6.22,4976.0,0.0,0.7905138339920948,high_profit
2022,8,OFRP,26,2,9,Kankesanthurai,9.6615,80.0104,9.8,79.8385,26.1,16.3,1.36,safe,0.0,0.0,39.9,13573.0,24000,3000.0,0.0,45779.0,160853.0,16085.0,144768.0,98989.0,0.684,2022-09-20,2022-09,430.0,450.0,340.0,17.05,28985.0,28.42,34104.0,5.68,7952.0,28.42,62524.0,34.11,27288.0,0.29648965682955064,0.5242578474846545,high_profit
2022,9,OFRP,21,1,2,Negombo,7.209,79.835,7.085,79.8941,19.3,7.3,0.92,safe,0.0,0.0,16.6,1442.0,8000,3000.0,0.0,15044.0,212816.0,21282.0,191534.0,176490.0,0.921,2022-02-07,2022-02,121.0,177.0,87.0,22.56,38352.0,37.6,45120.0,7.52,10528.0,37.6,82720.0,45.12,36096.0,0.09585216697686785,0.5317734645041212,high_profit
