year,trip_id,boat_type,engine_hp,trip_days,month,port_name,departure_lat,departure_lon,fishing_lat,fishing_lon,distance_km,wind_kph,wave_m,safety,diesel_liters,petrol_liters,kerosene_liters,fuel_cost_LKR,crew_cost_LKR,ice_cost_LKR,gear_loss_cost_LKR,total_cost_LKR,gross_revenue_LKR,tax_amount_LKR,net_revenue_LKR,gross_profit_LKR,net_profit_margin,trip_date,fuel_date_used,diesel_price_LKR,petrol_price_LKR,kerosene_price_LKR,catch_Yellowfin_Tuna_kg,revenue_Yellowfin_Tuna_LKR,catch_Skipjack_kg,revenue_Skipjack_LKR,catch_Marlin_kg,revenue_Marlin_LKR,catch_Seer_kg,revenue_Seer_LKR,catch_Other_kg,revenue_Other_LKR,fuel_cost_share,crew_cost_share,profitability
2024,165,OFRP,40,1,12,Negombo,7.209,79.835,7.1852,79.8826,18.1,5.7,0.39,safe,0.0,0.0,19.3,3635.0,8000,3000.0,0.0,17238.0,216669.0,21667.0,195002.0,177764.0,0.912,2024-12-28,2024-12,286.0,309.0,188.0,22.97,39049.0,38.28,45936.0,7.66,10724.0,38.28,84216.0,45.93,36744.0,0.21087133078083303,0.4640909618285184,high_profit
2024,831,OFRP,22,1,2,Trincomalee,8.55,81.233,8.4707,81.3122,32.0,11.1,0.56,safe,0.0,0.0,25.9,6774.0,8000,3000.0,0.0,20377.0,243772.0,24377.0,219395.0,199018.0,0.907,2024-02-23,2024-02,363.0,371.0,262.0,25.84,43928.0,43.07,51684.0,8.61,12054.0,43.07,94754.0,51.69,41352.0,0.3324336261471267,0.3925994994356382,high_profit
2024,1746,IDAY,109,1,5,Kalpitiya,8.556,79.8,9.0307,80.2093,106.9,6.1,1.73,safe,253.5,0.0,0.0,84425.0,24000,11250.0,0.0,124743.0,975024.0,97502.0,877522.0,752778.0,0.858,2024-05-21,2024-05,333.0,368.0,215.0,197.64,335988.0,230.58,276696.0,65.88,92232.0,98.82,217404.0,65.88,52704.0,0.6767914832896436,0.19239556528222024,high_profit
2024,1179,IMUL,300,7,1,Kalpitiya,8.556,79.8,9.7046,79.6616,147.1,3.0,0.86,safe,3253.0,0.0,0.0,1164579.0,224000,60000.0,0.0,1535839.0,9124714.0,912471.0,8212243.0,6676403.0,0.813,2024-01-07,2024-01,358.0,366.0,236.0,3290.88,5594496.0,1495.86,1795032.0,598.34,837676.0,299.17,658174.0,299.17,239336.0,0.7582689331368717,0.14584862085153458,high_profit
2024,926,OFRP,38,1,2,Negombo,7.209,79.835,7.2491,79.8655,17.5,20.3,0.2,safe,0.0,0.0,22.7,5944.0,12000,3000.0,0.0,23547.0,276208.0,27621.0,248587.0,225040.0,0.905,2024-02-10,2024-02,363.0,371.0,262.0,29.28,49776.0,48.8,58560.0,9.76,13664.0,48.8,107360.0,58.56,46848.0,0.2524313075975708,0.5096190597528347,high_profit
2024,1328,OFRP,25,2,2,Galle,6.1241,81.1185,6.1868,81.0562,22.9,5.2,0.93,safe,0.0,0.0,31.2,8173.0,24000,3000.0,0.0,40379.0,229454.0,22945.0,206509.0,166130.0,0.804,2024-02-13,2024-02,363.0,371.0,262.0,24.32,41344.0,40.54,48648.0,8.11,11354.0,40.54,89188.0,48.65,38920.0,0.20240719185715347,0.5943683597909805,high_profit
2024,1329,OFRP,21,2,2,Kalpitiya,8.556,79.8,8.2304,79.7506,46.8,7.8,0.62,safe,0.0,0.0,39.3,10298.0,24000,3000.0,0.0,42504.0,251929.0,25193.0,226736.0,184232.0,0.813,2024-02-11,2024-02,363.0,371.0,262.0,26.71,45407.0,44.51,53412.0,8.9,12460.0,44.51,97922.0,53.41,42728.0,0.242283079239601,0.564652738565782,high_profit
2024,290,NTRB,0,1,9,Beruwala,6.0535,80.2209,6.0496,80.2187,1.6,13.2,1.62,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,24862.0,2486.0,22376.0,17316.0,0.774,2024-09-14,2024-09,307.0,332.0,202.0,2.64,4488.0,4.39,5268.0,0.88,1232.0,4.39,9658.0,5.27,4216.0,0.0,0.7905138339920948,high_profit
2024,921,MTRB,9,2,6,Hambantota,5.9549,80.5549,5.9207,80.4805,19.3,20.7,2.02,safe,0.0,0.0,30.6,6176.0,16000,1500.0,0.0,27238.0,139561.0,13956.0,125605.0,98367.0,0.783,2024-06-11,2024-06,317.0,355.0,202.0,14.79,25143.0,24.66,29592.0,4.93,6902.0,24.66,54252.0,29.59,23672.0,0.2267420515456348,0.5874146413099347,high_profit
2024,1656,NTRB,0,1,5,Kankesanthurai,9.6615,80.0104,9.6148,80.027,6.5,12.2,1.35,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,16481.0,1648.0,14833.0,9773.0,0.659,2024-05-06,2024-05,333.0,368.0,215.0,1.75,2975.0,2.91,3492.0,0.58,812.0,2.91,6402.0,3.5,2800.0,0.0,0.7905138339920948,high_profit
