fish_id,sinhala_name,common_name,seasonal_months
2,පරව් (ලොකු),Trevally (L),"2,3,4,10,11"
3,ගල්මාළු (ලොකු),Rock fish (L),"2,3,10,11"
4,ගල්මාළු (පොඩි),Rock fish (S),"1,3,4,10,11"
5,තලපත්,Sail fish,"2,3,4,10"
6,බලයා,Skipjack tuna,"1,2,3,9,10,11"
7,කෙළවල්ලා,Yellowfin tuna,"2,3,10"
8,සාලයා (මට්ට),Sardinella,"1,3,9,10,11"
9,මෝරා,Sharks,"2,3,10,11"
10,හුරුල්ලා,Herrings,"2,3,8,9,10,11"
11,කුම්බලා,Indian Mackerel,"1,2,3,9,10,11,12"
12,කාරල්ලා,Pony fish,"1,2,3,4,10,11,12"
13,කටුවල්ලා,Katuwalla,"2,3,4,9,10,11"
14,හාල්මැස්සා,Anchovy,"1,3,4,10,11"
15,ඉස්සා (M),"Prawns (M) 3""","6,7,8,10"
16,කොප්පරා,Marlins,"2,3,4,10"
17,අලගොඩුවා,Frigate tuna(L),"2,3,8,9,10,11"
18,ඇටවල්ලා,Atawalla,"1,2,3,8,9,10,11"
19,ඇටිස්සා,Red Bream(L),"2,3,10,11"
20,බෝල්ලා,Big eye scade,"2,3,9,10,11"
21,ගින්නටි පරව්,Ginnati Paraw,"1,2,3,10,11"
22,හබරලි,Needle fish,"1,2,3,10,11"
23,හැඩැල්ලා,Indian Anchovies,"8,9,10,11"
24,ජීලාවා,Barracuda(L),"2,3,4,10,11"
25,ලින්නා,Indian Scad(L),"2,3,8,9,10,11"
26,ලින්නා,Indian Scad(S),"3,8,9,10,11"
27,ලේන පරව්,Rainbow Runner,"2,3,8,9,10,11,12"
28,සුද්දා,Threadfin  Bream,"3,9,10,11"
29,සූඩයා,White Sardinella,"1,3,9,10,11"
30,දැල්ලා,Squids /Cuttle fish,"3,9,10"
31,කකුළුවා(L),Sea Crabs(L),"2,3,10"
32,තිලාපියා,Tilapia (M),"2,3,4,9,10,11"
