date,temp_c_mean,humidity_mean,wind_speed_max,rainfall_sum,bad_weather_any,festival_name,is_festival_day,is_poya,is_holiday,days_to_festival,days_after_festival,before_festival_window,after_festival_window,lk_price,lk_price_lag1,lk_price_lag2,lk_price_change,lk_price_pct_change,lk_price_rose,day_of_week,month,year,week_of_year,month_sin,month_cos,is_weekend,is_waragam_west,is_waragam_east,is_awaragam,fishing_season,season,is_rough_sea_season,weather_effect,poya_effect,festival_effect,price_behavior_signal
2026-05-04,28.349999999999998,79.83333333333333,33.7,45.5,1,None,0,0,0,999,999,0,0,182.0,182.0,182.0,0.0,0.0,0,0,5,2026,19,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-05,28.28333333333333,79.83333333333333,23.6,22.1,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,1,5,2026,19,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-06,28.333333333333332,81.0,21.6,26.0,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,2,5,2026,19,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-07,27.083333333333332,86.16666666666667,24.6,53.6,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,3,5,2026,19,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-08,26.75,87.16666666666667,15.5,72.9,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,4,5,2026,19,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-09,26.666666666666668,87.5,17.7,88.5,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,5,5,2026,19,0.49999999999999994,-0.8660254037844387,1,1,0,0,1,2,1,1,0,0,1
2026-05-10,26.95,87.0,17.6,63.599999999999994,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,6,5,2026,19,0.49999999999999994,-0.8660254037844387,1,1,0,0,1,2,1,1,0,0,1
2026-05-11,26.799999999999997,87.5,21.9,53.4,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,0,5,2026,20,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-12,26.933333333333334,87.66666666666667,26.7,76.8,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,1,5,2026,20,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-13,26.616666666666664,88.33333333333333,25.7,130.8,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,2,5,2026,20,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-14,27.25,85.5,27.1,46.2,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,3,5,2026,20,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-15,27.099999999999998,86.0,26.1,49.2,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,4,5,2026,20,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
2026-05-16,27.816666666666666,84.66666666666667,28.4,32.4,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,5,5,2026,20,0.49999999999999994,-0.8660254037844387,1,1,0,0,1,2,1,1,0,0,1
2026-05-17,28.21666666666667,83.5,29.5,24.0,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,6,5,2026,20,0.49999999999999994,-0.8660254037844387,1,1,0,0,1,2,1,1,0,0,1
2026-05-18,28.366666666666664,82.5,31.8,15.6,1,None,0,0,0,999,999,0,0,182.0,0.0,0.0,0.0,0.0,0,0,5,2026,21,0.49999999999999994,-0.8660254037844387,0,1,0,0,1,2,1,1,0,0,1
