date,fish_id,sinhala_name,common_name,price
2021-08-08,2,පරව් (ලොකු),Trevally (L),616.67
2021-08-08,19,ඇටිස්සා,Red Bream(L),831.25
2021-08-08,12,කාරල්ලා,Pony fish,265.0
2021-08-08,8,සාලයා (මට්ට),Sardinella,275.71
2021-08-08,14,හාල්මැස්සා,Anchovy,300.0
2021-08-08,26,ලින්නා,Indian Scad(S),315.0
2021-08-08,13,කටුවල්ලා,Katuwalla,325.0
2021-08-08,30,දැල්ලා,Squids /Cuttle fish,975.0
2021-08-08,24,ජීලාවා,Barracuda(L),750.0
2021-08-08,4,ගල්මාළු (පොඩි),Rock fish (S),533.33
2021-08-08,28,සුද්දා,Threadfin  Bream,525.0
2021-08-08,9,මෝරා,Sharks,673.33
2021-08-08,5,තලපත්,Sail fish,1030.0
2021-08-08,7,කෙළවල්ලා,Yellowfin tuna,681.25
2021-08-08,25,ලින්නා,Indian Scad(L),390.71
2021-08-08,11,කුම්බලා,Indian Mackerel,485.71
2021-08-08,6,බලයා,Skipjack tuna,410.71
2021-08-08,3,ගල්මාළු (ලොකු),Rock fish (L),716.67
2021-08-08,16,කොප්පරා,Marlins,1170.0
2021-08-08,17,අලගොඩුවා,Frigate tuna(L),420.0
2021-08-08,18,ඇටවල්ලා,Atawalla,464.29
2021-08-08,32,තිලාපියා,Tilapia (M),460.0
2021-08-08,10,හුරුල්ලා,Herrings,441.67
2021-08-08,21,ගින්නටි පරව්,Ginnati Paraw,703.0
2021-08-08,27,ලේන පරව්,Rainbow Runner,442.0
2021-08-08,20,බෝල්ලා,Big eye scade,387.14
2021-08-08,23,හැඩැල්ලා,Indian Anchovies,830.0
2021-08-08,15,ඉස්සා (M),"Prawns (M) 3""",750.0
2021-08-08,22,හබරලි,Needle fish,620.0
2021-08-08,31,කකුළුවා(L),Sea Crabs(L),816.67
2021-08-08,29,සූඩයා,White Sardinella,163.57
2021-08-15,2,පරව් (ලොකු),Trevally (L),716.67
2021-08-15,25,ලින්නා,Indian Scad(L),415.71
2021-08-15,8,සාලයා (මට්ට),Sardinella,237.86
