date,temp_c,humidity,wind_speed,rainfall,condition,city,bad_weather
2026-02-26,27.6,83,16.6,0.0,Clear,Galle,0
2026-02-26,26.8,81,11.9,5.3,Rainy,Hambantota,1
2026-02-26,26.8,83,12.6,0.0,Clear,Jaffna,0
2026-02-26,26.9,84,14.8,0.0,Clear,Kalpitiya,0
2026-02-26,27.0,85,20.6,1.7,Clear,Negombo,0
2026-02-27,27.2,82,14.5,0.0,Clear,Galle,0
2026-02-27,26.3,83,13.0,1.5,Clear,Hambantota,0
2026-02-27,26.2,80,12.1,0.0,Clear,Jaffna,0
2026-02-27,26.4,82,14.0,0.0,Clear,Kalpitiya,0
2026-02-27,27.2,82,19.1,0.6,Clear,Negombo,0
2026-02-28,27.2,83,8.5,0.9,Clear,Galle,0
2026-02-28,26.5,80,13.2,0.1,Clear,Hambantota,0
2026-02-28,26.0,81,14.6,0.0,Clear,Jaffna,0
2026-02-28,26.5,80,14.7,0.0,Clear,Kalpitiya,0
2026-02-28,26.8,81,19.1,0.3,Clear,Negombo,0
2026-03-01,27.0,82,11.6,0.0,Clear,Galle,0
2026-03-01,25.6,80,14.5,0.0,Clear,Hambantota,0
2026-03-01,25.8,82,14.0,0.0,Clear,Jaffna,0
2026-03-01,25.7,81,16.1,0.0,Clear,Kalpitiya,0
2026-03-01,26.9,79,17.8,0.0,Clear,Negombo,0
2026-03-02,27.1,79,11.7,0.0,Clear,Galle,0
2026-03-02,25.6,77,11.6,0.0,Clear,Hambantota,0
2026-03-02,25.9,78,15.5,0.0,Clear,Jaffna,0
2026-03-02,25.5,75,18.5,0.0,Clear,Kalpitiya,0
2026-03-02,26.9,75,19.6,0.0,Clear,Negombo,0
2026-03-03,26.8,76,11.2,0.0,Clear,Galle,0
2026-03-03,25.3,72,11.4,0.0,Clear,Hambantota,0
2026-03-03,26.2,77,18.2,0.0,Clear,Jaffna,0
2026-03-03,25.5,79,18.4,0.3,Clear,Kalpitiya,0
2026-03-03,26.8,75,15.2,0.0,Clear,Negombo,0
2026-03-04,26.8,77,14.2,0.0,Clear,Galle,0
2026-03-04,25.6,74,13.0,0.0,Clear,Hambantota,0
2026-03-04,26.6,77,18.1,0.0,Clear,Jaffna,0
2026-03-04,26.3,79,19.9,0.0,Clear,Kalpitiya,0
2026-03-04,26.5,78,19.2,0.3,Clear,Negombo,0
2026-03-05,27.2,75,11.9,0.0,Clear,Galle,0
2026-03-05,26.1,75,11.6,0.0,Clear,Hambantota,0
2026-03-05,26.4,78,12.2,0.0,Clear,Jaffna,0
2026-03-05,26.4,82,14.9,0.0,Clear,Kalpitiya,0
2026-03-05,26.9,77,19.7,0.0,Clear,Negombo,0
2026-03-06,26.0,76,13.5,0.0,Clear,Galle,0
2026-03-06,25.5,77,20.2,0.0,Clear,Hambantota,0
2026-03-06,26.5,73,12.5,0.0,Clear,Jaffna,0
2026-03-06,26.6,74,17.0,0.0,Clear,Kalpitiya,0
2026-03-06,26.6,73,16.0,0.0,Clear,Negombo,0
2026-03-07,26.0,75,14.3,0.0,Clear,Galle,0
2026-03-07,25.6,75,20.7,0.0,Clear,Hambantota,0
2026-03-07,26.2,77,11.8,0.0,Clear,Jaffna,0
2026-03-07,26.4,76,17.1,0.0,Clear,Kalpitiya,0
2026-03-07,26.2,76,17.7,0.0,Clear,Negombo,0
2026-03-08,26.4,79,14.0,1.2,Clear,Galle,0
2026-03-08,26.4,72,19.1,0.0,Clear,Hambantota,0
2026-03-08,26.2,78,12.8,0.0,Clear,Jaffna,0
2026-03-08,26.5,78,17.4,0.0,Clear,Kalpitiya,0
2026-03-08,26.3,78,17.0,0.6,Clear,Negombo,0
2026-03-09,25.5,80,16.2,0.3,Clear,Galle,0
2026-03-09,26.2,71,18.4,0.0,Clear,Hambantota,0
2026-03-09,26.1,76,12.0,0.0,Clear,Jaffna,0
2026-03-09,26.4,78,17.0,0.0,Clear,Kalpitiya,0
2026-03-09,26.1,79,16.6,0.0,Clear,Negombo,0
2026-03-10,25.4,78,13.8,0.0,Clear,Galle,0
2026-03-10,25.4,73,19.7,0.0,Clear,Hambantota,0
2026-03-10,25.8,78,12.0,0.0,Clear,Jaffna,0
2026-03-10,26.3,78,16.9,0.0,Clear,Kalpitiya,0
2026-03-10,26.0,78,16.1,0.0,Clear,Negombo,0
2026-03-11,25.4,77,12.1,0.0,Clear,Galle,0
2026-03-11,25.1,75,17.5,0.0,Clear,Hambantota,0
2026-03-11,26.5,77,13.8,0.0,Clear,Jaffna,0
2026-03-11,26.7,76,16.5,0.0,Clear,Kalpitiya,0
2026-03-11,26.1,76,16.1,0.0,Clear,Negombo,0
2026-03-12,25.8,75,15.0,0.0,Clear,Galle,0
2026-03-12,25.7,75,19.6,0.0,Clear,Hambantota,0
2026-03-12,26.7,77,12.4,0.0,Clear,Jaffna,0
2026-03-12,26.7,78,18.9,0.0,Clear,Kalpitiya,0
2026-03-12,25.9,77,15.9,0.0,Clear,Negombo,0
