time,lat,lon,sst,chlor_a,depth,water_u,water_v,current_speed,fish_presence
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.491,-0.021,0.4914488783179793,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.461,-0.003,0.46100976128494286,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.482,-0.027,0.48275563176414626,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.456,-0.001,0.4560010964899098,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.478,-0.028,0.47881938139553204,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.455,-0.008,0.45507032423571636,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.482,0.009,0.4820840175737005,0
2020-01-01,5.1,79.1,28.42,0.175817,0,-0.458,0.028,0.45885509695327564,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.491,-0.021,0.4914488783179793,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.461,-0.003,0.46100976128494286,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.482,-0.027,0.48275563176414626,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.456,-0.001,0.4560010964899098,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.478,-0.028,0.47881938139553204,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.455,-0.008,0.45507032423571636,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.482,0.009,0.4820840175737005,0
2020-01-01,5.1,79.1,28.42,0.174777,0,-0.458,0.028,0.45885509695327564,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.491,-0.021,0.4914488783179793,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.461,-0.003,0.46100976128494286,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.482,-0.027,0.48275563176414626,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.456,-0.001,0.4560010964899098,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.478,-0.028,0.47881938139553204,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.455,-0.008,0.45507032423571636,0
2020-01-01,5.1,79.1,28.42,0.176743,0,-0.482,0.009,0.4820840175737005,0
