fish_id,left_image,right_image,species,grade
makerel_001_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_001_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_001_B_R.JPG,makerel,B
makerel_002_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_002_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_002_B_R.JPG,makerel,B
makerel_003_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_003_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_003_B_R.JPG,makerel,B
makerel_004_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_004_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_004_B_R.JPG,makerel,B
makerel_005_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_005_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_005_B_R.JPG,makerel,B
makerel_006_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_006_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_006_B_R.JPG,makerel,B
makerel_007_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_007_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_007_B_R.JPG,makerel,B
makerel_008_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_008_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_008_B_R.JPG,makerel,B
makerel_009_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_009_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_009_B_R.JPG,makerel,B
makerel_010_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_010_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_010_B_R.JPG,makerel,B
makerel_011_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_011_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_011_B_R.JPG,makerel,B
makerel_012_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_012_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_012_B_R.JPG,makerel,B
makerel_013_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_013_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_013_B_R.JPG,makerel,B
makerel_014_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_014_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_014_B_R.JPG,makerel,B
makerel_015_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_015_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_015_B_R.JPG,makerel,B
makerel_016_B,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_016_B_L.JPG,D:\Hirusha\fish_data\train\makerel\grade_B\makerel_016_B_R.JPG,makerel,B
