fish_id,left_image,right_image,binary_label,species_label,grade_label,sample_type,is_real_pair
flyingfish_001_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_002_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_002_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_002_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_003_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_003_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_003_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_004_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_005_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_005_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_005_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_006_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_007_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_008_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_008_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_008_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_009_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_009_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_009_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_010_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_011_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_011_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_011_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_012_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_013_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_014_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_014_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_014_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_015_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_015_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_015_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_016_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_016_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_016_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_017_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_017_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_017_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_018_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_018_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_018_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_019_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_019_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_019_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_020_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_020_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_020_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_021_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_021_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_021_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_022_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_022_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_022_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_023_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_023_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_023_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_024_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_024_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_024_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_025_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_025_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_025_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_026_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_026_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_026_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_027_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_027_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_027_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_028_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_028_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_028_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_029_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_029_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_029_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_030_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_030_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_030_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_031_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_031_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_031_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_032_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_032_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_032_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_033_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_033_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_033_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_034_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_034_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_034_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_035_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_035_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_035_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_036_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_036_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_036_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_037_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_037_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_037_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_038_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_038_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_038_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_039_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_039_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_039_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_040_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_040_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_040_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_041_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_041_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_041_A_R.JPG,fish,flyingfish,A,target_fish,1
