fish_id,left_image,right_image,binary_label,species_label,grade_label,sample_type,is_real_pair
flyingfish_001_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_003_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_003_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_003_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_004_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_006_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_007_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_008_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_008_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_008_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_010_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_011_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_011_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_011_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_012_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_013_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_R.JPG,fish,flyingfish,A,target_fish,1
