fish_id,left_image,right_image,binary_label,species_label,grade_label,sample_type,is_real_pair
flyingfish_001_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_001_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_004_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_004_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_005_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_005_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_005_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_006_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_006_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_007_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_007_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_009_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_009_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_009_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_010_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_010_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_012_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_012_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_013_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_013_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_014_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_014_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_014_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_016_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_016_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_016_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_017_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_017_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_017_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_018_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_018_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_018_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_020_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_020_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_020_A_R.JPG,fish,flyingfish,A,target_fish,1
flyingfish_025_A,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_025_A_L.JPG,D:\Hirusha\fish_data\train\flyingfish\grade _A\flyingfish_025_A_R.JPG,fish,flyingfish,A,target_fish,1
