boat_type,engine_hp,fuel_type,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_kmh,trip_days,trip_month,distance_km,wind_kph,wave_height_m,weather_factor,region,is_multi_day,has_engine,is_deep_sea,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr,total_base_cost_lkr
OBFR,40,Diesel,6,150,50,10,1,7,138.41964828824533,14.364463531745407,2.8819251211247288,0.8741698745393368,South,False,True,True,42350.800302270094,1440.0,175.0,43965.800302270094
MDBT,120,Diesel,2,800,500,15,3,6,367.23361336766374,14.094474721486709,1.0844950317102562,1.0774512795376252,West,True,True,True,276973.4286285504,9600.0,2500.0,289073.4286285504
NMTR,0,None,2,100,30,8,7,11,206.78801789874927,23.506342351276373,1.8981466105747253,1.1683333332619978,South,True,False,True,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,4,200,100,12,7,3,346.1411215943498,11.750638427837718,1.0614790768826705,1.3917274776778177,East,True,True,True,263448.3414484005,2400.0,500.0,266348.3414484005
TKBO,85,Diesel,2,300,150,13,3,3,316.0008321764362,27.520521037419503,2.527088434562645,0.853653939047204,South,True,True,True,154331.18875203602,3600.0,750.0,158681.18875203602
NMTR,0,None,5,100,30,8,3,4,133.94012055934553,17.19346708942725,2.6907001444002074,0.9670922654022495,West,True,False,True,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,4,800,500,15,1,1,166.18922911638836,21.47239143645925,2.7718924068282544,1.479165094810984,South,False,True,True,172074.91478975487,7680.0,1750.0,181504.91478975487
IMUL,75,Diesel,6,200,100,12,5,3,283.3836383145381,19.09765036469182,2.10944144027941,1.2638666317312477,West,True,True,True,195868.27118049917,2400.0,500.0,198768.27118049917
IMUL,75,Diesel,4,200,100,12,6,11,422.8927693947169,27.472804707399348,2.433621668470363,1.2202584808445625,East,True,True,True,282208.5483118929,2400.0,500.0,285108.5483118929
NMTR,0,None,6,100,30,8,7,5,30.027304640517034,33.93325425743849,2.853085124932013,1.0553828037547763,South,True,False,False,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,5,200,100,12,4,8,465.52046901025045,16.561938958718635,1.2815352765120442,0.9613749182677569,South,True,True,True,244748.27499428764,2400.0,500.0,247648.27499428764
TKBO,85,Diesel,3,300,150,13,1,11,176.32968640118446,21.214152311595,0.6671437879355453,1.1576910673355187,West,False,True,True,116788.94730516452,2880.0,525.0,120193.94730516452
IMUL,75,Diesel,5,200,100,12,6,2,328.24813508220615,6.699428564846421,1.6728332178816316,1.1766501641717222,North,True,True,True,211221.29329959193,2400.0,500.0,214121.29329959193
NMTR,0,None,4,100,30,8,5,8,154.2364910117092,12.773609522470576,0.6880118068795522,0.9363921505545403,East,True,False,True,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,4,800,500,15,7,9,455.10064635713314,32.16431591673458,0.8838639952283024,1.2025576029102103,East,True,True,True,383099.31965628493,9600.0,2500.0,395199.31965628493
IMUL,75,Diesel,6,200,100,12,3,10,309.4860415018084,34.07238034083724,0.7250949468522834,1.0346128894557884,East,True,True,True,175108.41668054223,2400.0,500.0,178008.41668054223
NMTR,0,None,6,100,30,8,5,10,191.42885979642477,8.500008615283349,2.506725897384947,1.3434295972478032,North,True,False,True,0.0,1200.0,150.0,1350.0
NMTR,0,None,5,100,30,8,2,3,89.02957029950583,13.645398011109723,2.643993649045907,1.0545538036377973,West,True,False,False,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,6,150,50,10,3,1,397.96179587669343,5.8585382596426285,2.6683605147212397,1.344401991055968,North,True,True,True,187257.22075929237,1800.0,250.0,189307.22075929237
OBFR,40,Diesel,4,150,50,10,7,6,78.51038380519066,11.14376135901265,2.290610503575725,0.8589971281611828,North,True,True,False,23604.06797682185,1800.0,250.0,25654.06797682185
MDBT,120,Diesel,5,800,500,15,3,10,351.2142930005938,36.37971912098544,2.8568408856896967,1.3169888945891315,West,True,True,True,323781.7264519287,9600.0,2500.0,335881.7264519287
IMUL,75,Diesel,4,200,100,12,3,10,286.08664759107603,7.355512590381646,1.704737410708622,1.0874990819179895,East,True,True,True,170143.1848617214,2400.0,500.0,173043.1848617214
